Num,lat,lon,site_mean,MAT,MAT_season,MAP,MAP_season,AI,AET,VPD,srad,tmax,tmin,CEC,BD,pH,Sand,Silt,Clay,SWC,SOC,TN,TP,MBC,MBN,FB_ratio,NPP,BNPP,NDVI,Ndep,LDMC,SLA_MODIS,LNC_MODIS,LPC_MODIS,Vcmax,fLNR,EM_tree,AM_tree
294,-23.33,-44.83,2.06,20.53083,231.1398,2169,48.61789,16914,NaN,0.6,166.2583,26.875,16.74167,0.1804,1.16,4.5,20,22,58,42,25.1,1.6,400,77.2128,12.1681,0.1639358,17906,1.818974,0.833,0.02593881,0.3320174,10.3593,14.94803,1.065522,NaN,NaN,0.1857048,0.8954802
295,-23.28,-45.05,0.23,17.30857,256.904,1567,64.31923,12944,934.5172,0.4166667,169.6917,23.29167,12.53333,0.1288,1.37,5.4,53,11,36,44,22.8,1.8,400,82.9186,13.046,0.151418,14703,1.26798,0.687,0.02593881,0.3097772,12.60821,16.65084,1.309606,74.91184,26.50294,0.06940619,0.8974558
298,9.15,-79.85,10,26.21505,69.43291,2659,61.79959,17700,1280.901,0.5833333,223.2083,29.03333,22.91667,0.09299999,1.34,5.7,54,26,20,35,16.3,1.5,500,269.327,38.2894,0.1283353,10043,1.222484,0.827,0.02974753,0.313103,11.78418,15.94906,1.150456,60.54277,14.64662,0.07449143,0.8179302
299,9.09,-79.65,2.2,26.21505,69.43291,2659,61.79959,17700,1280.901,0.5833333,223.2083,29.03333,22.91667,0.09299999,1.34,5.7,54,26,20,35,16.3,1.5,500,269.327,38.2894,0.1283353,10043,1.222484,0.827,0.02974753,0.313103,11.78418,15.94906,1.150456,60.54277,14.64662,0.07449143,0.8179302
301,-7.98,-38.3,2.5,22.46914,155.4426,882,88.89423,5078,849.0495,0.8416666,213.0833,27.21667,17.30833,0.0852,1.39,5.7,55,18,27,23,13,1.2,NaN,98.977,8.1887,0.1522027,6154,1.572453,0.644,0.02422711,0.2801623,16.83392,18.53062,1.36091,68.4036,19.02787,0.2117817,0.5964178
302,-6.87,-35.78,9.3,22.75882,141.4429,814,65.78297,5130,1106.731,0.525,217.95,26.69167,17.28333,0.0852,1.39,5.7,55,18,27,28,13,1.2,500,138.355,35.9425,0.1398403,7160,1.540146,0.614,0.01425398,0.2898023,17.34763,14.29263,1.419516,98.09443,29.56473,0.2540713,0.6250342
303,-6.99,-37.3,8,26.66309,104.4025,760,118.4677,3954,787.3654,1.216667,216.725,31.26667,21.98333,0.0756,1.44,6.2,60,33,7,31,12.4,1.2,500,60.7887,12.1673,0.1408844,4729,1.557304,0.525,0.02551706,0.2652083,15.48573,19.22263,1.36181,104.2565,20.04965,0.2694765,0.583186
304,-9.39,-40.51,1.4,25.64278,120.2395,506,91.05393,2735,931.6389,1.666667,208.525,32.95833,19.575,0.0428,1.42,6,75,17,8,22,5.5,0.6,400,86.0883,7.16824,0.1477623,3201,0.6717689,0.406,0.01828234,0.2655584,14.49266,19.16555,1.332951,81.20535,18.29197,0.2321983,0.5286917
305,-8.88,-36.37,18,21.36078,157.9007,770,58.88132,4749,1118.044,0.4333333,219.7667,25.14167,16.3,0.0643,1.4,6.2,70,22,8,22,7.5,0.7,400,117.788,11.1335,0.1346957,8195,1.549148,0.562,0.02422711,0.281444,15.97352,13.33843,1.312164,89.1872,30.03407,0.1715411,0.6459185
329,9.15,-79.85,140,26.21505,69.43291,2659,61.79959,17700,1280.901,0.5833333,223.2083,29.03333,22.91667,0.09299999,1.34,5.7,54,26,20,35,16.3,1.5,500,269.327,38.2894,0.1283353,10043,1.222484,0.827,0.02974753,0.313103,11.78418,15.94906,1.150456,60.54277,14.64662,0.07449143,0.8179302
331,-5.716667,38.783333,2.6,26.89182,144.0787,1132,37.37975,6749,1221.939,1.033333,181.75,31.99167,22.20833,0.1253,1.46,6,71,13,16,27,7.1,0.6,300,65.6225,9.97111,0.1324842,8319,1.916888,0.597,0.01348478,0.3085352,15.033,16.96282,1.145547,59.9889,21.74207,0.08952144,0.6857902
358,30.9,117.883333,82.5,16.42818,882.362,1388,52.5518,10849,984.3812,0.65,177.6583,20.99167,13.39167,0.178,0.97,7,30,48,22,38,24.1,1.6,900,89.7183,14.6638,0.209186,951,1.393126,0.429,0.1810679,0.3145579,12.03336,9.181012,NaN,60.51224,18.24345,0.6960144,0.2772129
362,27.272222,88.563056,101.5,13.54567,428.6913,2117,97.80334,17587,692.1395,0.6083333,180.9667,19.59167,11.34167,0.1323,1.24,5.1,43,38,19,36,21.2,1.7,600,155.688,25.3939,0.1329817,9816,1.556438,0.784,0.2040604,0.3486426,9.204127,15.32598,1.239204,54.14783,14.40362,0.547965,0.3653881
366,31.7875,-110.8347222,23.8,15.60739,649.8295,559,74.91254,2430,403.4176,1.45,223.225,23.91667,9.275,0.3862,1.8,8,23,29,48,32,12.3,2,400,70.4458,10.9261,0.1423105,874,0.8114347,0.288,0.03438509,0.2842703,13.30068,17.89087,1.406567,93.02654,15.03558,0.1884662,0.05180283
367,31.79388889,-110.8247222,24.9,15.60739,649.8295,559,74.91254,2430,403.4176,1.45,223.225,23.91667,9.275,0.3862,1.8,8,23,29,48,32,12.3,2,400,70.4458,10.9261,0.1423105,874,0.8114347,0.288,0.03438509,0.2842703,13.30068,17.89087,1.406567,93.02654,15.03558,0.1884662,0.05180283
